,City,1B Price,1B M/M%,1B Y/Y%,2B Price,2B M/M%,2B Y/Y%
67,"Bakersfield, CA","$1,070 ",4.90%,17.60%,"$1,290 ",0.80%,15.20%
68,"San Antonio, TX","$1,060 ",-1.90%,10.40%,"$1,380 ",0.70%,15.00%
69,"Buffalo, NY","$1,050 ",1.00%,2.90%,"$1,100 ",-0.90%,0.00%
70,"Arlington, TX","$1,030 ",0.00%,12.00%,"$1,370 ",0.00%,14.20%
71,"Rochester, NY","$1,020 ",2.00%,-2.90%,"$1,200 ",-1.60%,-7.00%
72,"Louisville, KY",$980 ,3.20%,12.60%,"$1,160 ",5.50%,14.90%
73,"Kansas City, MO",$980 ,2.10%,-1.00%,"$1,100 ",-3.50%,-4.30%
74,"Milwaukee, WI",$950 ,0.00%,-22.10%,"$1,090 ",-1.80%,-14.20%
75,"Indianapolis, IN",$950 ,-1.00%,1.10%,"$1,070 ",0.90%,7.00%
76,"Lincoln, NE",$940 ,3.30%,14.60%,"$1,090 ",4.80%,14.70%
77,"Des Moines, IA",$930 ,4.50%,6.90%,$980 ,3.20%,6.50%
78,"Augusta, GA",$920 ,4.50%,12.20%,"$1,050 ",5.00%,16.70%
79,"Syracuse, NY",$920 ,2.20%,10.80%,"$1,050 ",5.00%,5.00%
80,"Tallahassee, FL",$920 ,2.20%,15.00%,"$1,050 ",0.00%,12.90%
81,"St Louis, MO",$920 ,0.00%,-7.10%,"$1,280 ",-1.50%,0.80%
82,"Greensboro, NC",$900 ,2.30%,12.50%,"$1,010 ",3.10%,12.20%
83,"Omaha, NE",$900 ,1.10%,9.80%,"$1,170 ",5.40%,18.20%
84,"Winston Salem, NC",$900 ,1.10%,11.10%,"$1,000 ",4.20%,12.40%
85,"Corpus Christi, TX",$900 ,0.00%,5.90%,"$1,140 ",0.90%,5.60%
86,"Memphis, TN",$900 ,0.00%,3.40%,$960 ,-1.00%,4.30%
87,"Columbus, OH",$900 ,-2.20%,0.00%,"$1,110 ",0.90%,0.90%
88,"Tulsa, OK",$880 ,4.80%,31.30%,"$1,010 ",-1.00%,21.70%
89,"Cincinnati, OH",$870 ,-5.40%,-10.30%,"$1,240 ",-0.80%,10.70%
90,"Albuquerque, NM",$860 ,0.00%,14.70%,"$1,090 ",1.90%,14.70%
91,"Tucson, AZ",$840 ,-4.50%,15.10%,"$1,140 ",-5.00%,15.20%
92,"Oklahoma City, OK",$830 ,-1.20%,12.20%,$980 ,0.00%,11.40%
93,"Baton Rouge, LA",$820 ,-1.20%,0.00%,$990 ,1.00%,6.50%
94,"Laredo, TX",$810 ,0.00%,14.10%,$900 ,-1.10%,-5.30%
95,"El Paso, TX",$810 ,-2.40%,15.70%,"$1,000 ",0.00%,14.90%
96,"Lexington, KY",$800 ,-1.20%,8.10%,"$1,070 ",-0.90%,11.50%
97,"Shreveport, LA",$730 ,-1.40%,9.00%,$800 ,-1.20%,6.70%
98,"Lubbock, TX",$690 ,0.00%,6.20%,$900 ,4.70%,5.90%
99,"Akron, OH",$680 ,1.50%,13.30%,$810 ,1.30%,9.50%
100,"Wichita, KS",$650 ,0.00%,8.30%,$800 ,0.00%,8.10%
